date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2024-02-28 | 0.2

2024-02-29 | 1
2023-02-29 | 1
2000-02-29 | 1
2100-02-28 | 1
2022-04-31 | 1

2009-01-01 | 5
2011-01-05 | 5
2022-03-30 | 1
9999-12-31 | 1

2011-01-03 | 0
2011-01-03 | 1
2011-01-03 | 1000.1
2011-01-03 | -0.1
2011-01-03 | 5.5.5
2011-01-03 |

2011-01-03|3
2011-01-03 |  5
   2011-01-03 | 5
2011-01-03 | 5 e

2011-01-03 | 1
| 50
2011-01-03 |
            |
